Id_bien;Cod_depcom;No_voie;Btq;Type_voie;Voie;Code_postal;Com_ad;Surface_Carrez;Type_local;Nb_pieces;Surface_terrain
1;01103;347;;RUE;DU CHATEAU;1170;CHEVRY;48.22;Appartement;3;
2;06004;4;;BD;EDOUARD BAUDOIN;6160;ANTIBES;39.11;Appartement;1;
3;06088;20;B;RUE;MARCEAU;6000;NICE;80.25;Appartement;3;
4;06123;550;;RTE;DES VESPINS RN7;6700;SAINT LAURENT DU VAR;27.51;Appartement;1;
5;13005;9300;;RES;LES ARPEGES BD DES ABA;13400;AUBAGNE;47.33;Appartement;2;
6;13028;27;;RUE;DU GRAND MADIER;13600;LA CIOTAT;25.31;Appartement;1;
7;13208;360;;AV;DU PRADO;13008;MARSEILLE 8EME;70.84;Appartement;3;
8;13212;5076;F;PARC;DESSUARD;13012;MARSEILLE 12EME;67.19;Appartement;3;
9;14338;1194;;RUE;DE NORMANDIE;14510;HOULGATE;18.89;Appartement;1;
10;14366;30;;ALL;DES NOISETIERS;14100;LISIEUX;105.37;Maison;4;
11;17300;11;;RUE;ROUGET DE L ISLE;17000;LA ROCHELLE;31.99;Appartement;2;
12;25056;13;;RUE;BERTHE MORISOT;25000;BESANCON;96.21;Maison;5;
13;29232;1;;RUE;DU POHER;29000;QUIMPER;30.86;Appartement;1;
14;29260;2;;RUE;DES JARDINS;29290;SAINT RENAN;66.21;Appartement;3;
15;31555;5;;AV;DU COMMANDANT TAILLANDIER;31500;TOULOUSE;45.58;Appartement;2;
16;33063;15;;RUE;PAUL DENUCE;33800;BORDEAUX;23.2;Appartement;1;
17;33063;176;;RUE;SAINTE CATHERINE;33000;BORDEAUX;13.1;Appartement;1;
18;33097;822;G;;LA BAYNASSE SUD;33121;CARCANS;29;Appartement;2;
19;33449;9;;RUE;DE BELFORT;33160;SAINT MEDARD EN JALLES;51.4;Appartement;2;
20;34145;183;;RUE;MARC ANTOINE MENARD;34400;LUNEL;16.79;Appartement;1;
21;34150;50;;AV;ANDRE CHASSEFIERE;34340;MARSEILLAN;51.4;Appartement;2;
22;34199;8;;PL;DES ETATS DU LANGUEDOC;34120;PEZENAS;68.22;Appartement;3;
23;37156;7;;RUE;JEAN-JACQUES ROUSSEAU;37270;MONTLOUIS-SUR-LOIRE;88.45;Maison;4;
24;37261;197;;AV;DE GRAMMONT;37000;TOURS;42.94;Appartement;2;
25;38185;48;;BD;MAL FOCH;38000;GRENOBLE;76.48;Appartement;4;
26;40266;210;;RTE;DU TAILLEUR;40170;ST-JULIEN-EN-BORN;48.23;Maison;3;
27;40328;199;;RES;MER ET GOLF-LE BOUCANIER;40480;VIEUX BOUCAU-LES-BAINS;49.91;Appartement;2;
28;44143;3;;ALL;JEAN PERRIN;44400;REZE;46.3;Appartement;2;
29;44184;12;;RUE;FERDINAND BUISSON;44600;SAINT-NAZAIRE;47.24;Appartement;2;
30;51230;35;;AV;DE CHAMPAGNE;51200;EPERNAY;81.09;Appartement;4;
31;54395;26;;RUE;MESSIER;54000;NANCY;39.69;Appartement;2;
32;56161;5794;;;GOLF SAINT LAURENT;56400;PLOEMEL;43.85;Appartement;3;
33;58194;5;;RUE;DE PRUNEVEAUX;58000;NEVERS;108.78;Appartement;4;
34;59512;118;;BD;DU GENERAL DE GAULLE;59100;ROUBAIX;89.84;Appartement;3;
35;60057;247;;RUE;DE NOTRE DAME DU THIL;60000;BEAUVAIS;48.35;Appartement;2;
36;60155;34;;RUE;DE LA VILLE;60660;CIRES LES MELLO;19.11;Appartement;1;
37;60159;15;;SQ;JEAN BAPTISTE CLEMENT;60200;COMPIEGNE;97.39;Appartement;5;
38;60524;84;;AV;JEAN JAURES;60290;RANTIGNY;31.73;Appartement;1;
39;69149;54;;RUE;DE LA BUSSIERE;69600;OULLINS;49.89;Appartement;2;
40;69384;15;;RUE;ARTAUD;69004;LYON 4EME;20.02;Appartement;1;
41;74119;1;;AV;D ABONDANCE;74500;EVIAN-LES-BAINS;34.86;Appartement;2;
42;74236;950;;AV;DU MONT D ARBOIS;74170;SAINT GERVAIS LES BAINS;39.05;Appartement;2;
43;74238;110;;RTE;DE LA TELECABINE;74430;SAINT-JEAN-D'AULPS;18.93;Appartement;1;
44;74278;2308;;AV;DES VALLEES;74300;THYEZ;88.59;Appartement;4;
45;75105;22;;BD;SAINT MARCEL;75005;PARIS 05;30.05;Appartement;2;
46;75110;45;;BD;DE MAGENTA;75010;PARIS 10;32.3;Appartement;2;
47;75111;14;;AV;DE LA REPUBLIQUE;75011;PARIS 11;120.28;Appartement;4;
48;75111;160;;RUE;SAINT MAUR;75011;PARIS 11;17.94;Appartement;2;
49;75111;11;;RUE;DU MOULIN JOLY;75011;PARIS 11;28.39;Appartement;2;
50;75112;36;;RUE;ERARD;75012;PARIS 12;18;Appartement;2;
51;75112;220;;RUE;DE CHARENTON;75012;PARIS 12;51.44;Appartement;3;
52;75112;17;;RUE;D AUSTERLITZ;75012;PARIS 12;10.06;Appartement;1;
53;75115;60;A;RUE;EMERIAU;75015;PARIS 15;88.3;Appartement;4;
54;75118;4;;RUE;SQUARE CARPEAUX;75018;PARIS 18;23.98;Appartement;1;
55;75118;36;;AV;DE CLICHY;75018;PARIS 18;53.59;Appartement;2;
56;75118;68;;RUE;MARCADET;75018;PARIS 18;24.3;Appartement;2;
57;76217;16;;AV;ALEXANDRE ANQUETIN;76200;DIEPPE;61.52;Appartement;4;
58;76451;5;;PARC;DE LA BRESLE;76130;MONT-SAINT-AIGNAN;57.27;Appartement;3;
59;76655;4;;RUE;FRANCOIS LAPERT;76460;SAINT-VALERY-EN-CAUX;23.98;Appartement;1;
60;77118;5;B;RUE;DE LA SOLIDARITE;77410;CLAYE-SOUILLY;35.32;Appartement;2;
61;78350;4;;ALL;HELENE LAZAREFF;78430;LOUVECIENNES;89.41;Appartement;4;
62;78423;1;;AV;DE DENTON;78180;MONTIGNY LE BRETONNEUX;106.19;Appartement;5;
63;78545;15;;RUE;ROBERT DESNOS;78210;SAINT-CYR-L ECOLE;67.76;Appartement;4;
64;78545;1;;RUE;MAL DE LATTRE DE TASSIGNY;78210;SAINT-CYR-L ECOLE;40.55;Appartement;2;
65;78551;53;;RUE;DE MAREIL;78100;SAINT-GERMAIN-EN-LAYE;84.31;Appartement;5;
66;78586;1;;RUE;MAETERLINCK;78500;SARTROUVILLE;74;Appartement;3;
67;78640;2;;RUE;DIVISION LECLERC;78140;VELIZY VILLACOUBLAY;49.16;Appartement;2;
68;83062;;;;LES SAVELS;83130;LA GARDE;50.74;Appartement;2;
69;83069;31;;AV;DE LA SABLIERE CAPTE;83400;HYERES;20.15;Appartement;1;
